GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
image-converter-service,org.imageconverter.util.validation,ValidatorAspect,32,37,2,2,7,9,2,3,1,2
image-converter-service,org.imageconverter.util.controllers.imageconverter,ImageConversionPostResponse,0,9,0,0,0,2,0,2,0,2
image-converter-service,org.imageconverter.util.controllers.imageconverter,ImageConverterRequest,0,21,0,0,0,2,0,4,0,4
image-converter-service,org.imageconverter.util.controllers.imageconverter,ImageConverterRequestArea,0,45,0,0,0,2,0,8,0,8
image-converter-service,org.imageconverter.util.controllers.imageconverter,ImageConversionResponse,0,21,0,0,0,2,0,4,0,4
image-converter-service,org.imageconverter,ImageServiceApplication,5,3,0,0,2,1,1,1,1,1
image-converter-service,org.imageconverter.application,ImageConversionService,37,346,1,7,5,68,3,18,2,15
image-converter-service,org.imageconverter.application,ImageTypeService,0,220,0,2,0,39,0,13,0,12
image-converter-service,org.imageconverter.util.logging,LoggableAspect,26,331,12,14,9,63,14,11,2,8
image-converter-service,org.imageconverter.config.filter,CsrfLoggerFilter,0,21,1,1,0,6,1,2,0,2
image-converter-service,org.imageconverter.util,BeanUtil,0,28,1,1,0,10,1,7,0,7
image-converter-service,org.imageconverter.domain.conversion,TesseractService,14,174,2,2,4,24,2,3,0,3
image-converter-service,org.imageconverter.domain.conversion,ExecutionType,6,56,3,3,3,12,3,4,0,2
image-converter-service,org.imageconverter.domain.conversion,ImageConversion.Builder,7,205,8,22,1,34,8,13,0,6
image-converter-service,org.imageconverter.domain.conversion,ImageConversion,6,125,0,4,2,33,2,13,2,11
image-converter-service,org.imageconverter.domain.imagetype,ImageType,0,153,0,12,0,39,0,18,0,12
image-converter-service,org.imageconverter.config.security,SecurityConfig,0,59,0,0,0,19,0,5,0,5
image-converter-service,org.imageconverter.config.security,RestSecurityConfig,0,168,0,0,0,38,0,4,0,4
image-converter-service,org.imageconverter.config.security,RestAuthenticationSuccessHandler,42,3,8,0,11,1,5,1,1,1
image-converter-service,org.imageconverter.config.security,SecurityApplicationInitializer,15,0,0,0,3,0,2,0,2,0
image-converter-service,org.imageconverter.config.security,SecurityConfig.FaviconController,1,3,0,0,1,1,1,1,1,1
image-converter-service,org.imageconverter.config,ImageConfig,0,36,0,2,0,9,0,3,0,2
image-converter-service,org.imageconverter.config,WebConfig,0,106,0,0,0,29,0,8,0,8
image-converter-service,org.imageconverter.config,LogPerformanceConfiguration,0,27,0,0,0,7,0,2,0,2
image-converter-service,org.imageconverter.config,DefaultOpenApiConfiguration,438,9,38,0,109,3,34,3,15,3
image-converter-service,org.imageconverter.config.health,TesseractInfoService.TesseractDetailsData,0,10,0,0,0,4,0,2,0,2
image-converter-service,org.imageconverter.config.health,TesseractHealthService,9,64,2,4,4,19,2,4,0,3
image-converter-service,org.imageconverter.config.health,TesseractInfoService,3,144,4,10,1,38,4,7,0,4
image-converter-service,org.imageconverter.util.performance,PerformanceMonitor,64,431,18,28,7,78,16,25,0,16
image-converter-service,org.imageconverter.util.jpaconverters,ExcutionTypeConverter,0,10,0,0,0,3,0,3,0,3
image-converter-service,org.imageconverter.infra,AbstractRestExceptionHandler,0,258,4,12,0,46,4,14,0,10
image-converter-service,org.imageconverter.infra,RestExceptionHandler,30,114,0,2,5,20,3,9,3,8
image-converter-service,org.imageconverter.util.controllers.imagetype,CreateImageTypeRequest,0,21,0,0,0,2,0,4,0,4
image-converter-service,org.imageconverter.util.controllers.imagetype,ImageTypeResponse,0,21,0,0,0,2,0,4,0,4
image-converter-service,org.imageconverter.util.controllers.imagetype,UpdateImageTypeRequest,0,21,0,0,0,2,0,4,0,4
image-converter-service,org.imageconverter.controller,ImageTypeRestController,0,41,0,0,0,12,0,6,0,6
image-converter-service,org.imageconverter.controller,ImageConversionRestController,4,202,0,2,2,35,0,13,0,12
